,Ozone,Solar.R,Wind,Temp C,Month,Day,Year,Temp,Weather
126,73,183,2.8,93,9,3,2010,93,C
127,91,189,4.6,93,9,4,2010,93,PS
128,47,95,7.4,87,9,5,2010,87,S
129,32,92,15.5,84,9,6,2010,84,S
130,20,252,10.9,80,9,7,2010,80,S
131,23,220,10.3,78,9,8,2010,78,C
132,21,230,10.9,75,9,9,2010,75,PS
133,24,259,9.7,73,9,10,2010,73,C
134,44,236,14.9,81,9,11,2010,81,PS
135,21,259,15.5,76,9,12,2010,76,S
136,28,238,6.3,77,9,13,2010,77,S
137,9,24,10.9,71,9,14,2010,71,PS
138,13,112,11.5,71,9,15,2010,71,PS
139,46,237,6.9,78,9,16,2010,78,S
140,18,224,13.8,67,9,17,2010,67,PS
141,13,27,10.3,76,9,18,2010,76,S
142,24,238,10.3,68,9,19,2010,68,C
143,16,201,8,82,9,20,2010,82,PS
144,13,238,12.6,64,9,21,2010,64,PS
145,23,14,9.2,71,9,22,2010,71,S
146,36,139,10.3,81,9,23,2010,81,S
147,7,49,10.3,69,9,24,2010,69,C
148,14,20,16.6,63,9,25,2010,63,PS
149,30,193,6.9,70,9,26,2010,70,C
150,NA,145,13.2,77,9,27,2010,77,PS
151,14,191,14.3,75,9,28,2010,75,S
152,18,131,8,76,9,29,2010,76,PS
153,20,223,11.5,68,9,30,2010,68,S
154,41,190,7.4,67,5,1,2010,67,C
155,30,193,6.9,70,9,26,2010,70,PS
156,NA,145,13.2,77,9,27,2010,77,S
157,14,191,14.3,75,9,28,2010,75,S
158,18,131,8,76,9,29,2010,76,C
