spell,event,ui,logwage,age
5,0,0,5.06259,30
1,1,0,5.87493,28
2,0,1,5.06259,45
11,0,1,5.46806,37
7,0,1,5.90536,35
16,0,1,5.75574,43
5,0,0,5.97889,32
13,1,1,6.69703,55
10,0,1,6.19441,53
1,1,1,6.52649,36
15,0,1,6.18621,31
16,1,1,5.87493,20
7,0,0,5.62402,28
6,0,1,5.87493,61
1,0,0,5.75574,22
8,0,1,6.44889,37
15,0,1,5.60947,28
9,0,1,6.72143,56
10,0,1,6.46147,33
5,0,1,5.28827,24
5,0,1,5.78074,59
2,0,1,6.67203,43
5,0,0,5.46806,35
11,0,1,6.16121,27
2,0,0,5.92693,30
2,0,0,5.97889,27
7,0,1,5.92693,33
7,0,1,5.24702,26
11,0,1,5.85793,50
8,0,1,5.75574,41
3,0,1,6.07535,57
9,0,0,5.97889,21
19,1,0,6.27852,28
14,1,1,6.81235,52
25,0,1,6.67203,42
9,0,1,6.286,33
11,1,0,6.54391,48
3,0,1,6.31536,43
11,0,1,5.97889,42
3,0,1,6.44889,29
5,0,1,6.54391,44
7,0,1,5.62402,39
4,1,0,6.76734,55
8,0,1,6.20254,39
4,1,1,5.39816,52
9,0,0,5.69036,34
15,0,1,5.54908,27
11,0,1,5.97889,61
19,0,0,5.82895,52
1,0,1,5.43372,36
1,1,0,6.41017,38
14,0,1,6.67203,40
2,0,0,5.53339,24
26,0,1,6.44889,29
13,0,1,5.80513,44
9,0,1,5.46806,39
8,0,1,6.16121,56
11,0,1,5.32301,48
8,0,1,5.71043,40
19,1,1,5.71373,55
9,0,1,5.06259,37
5,0,0,4.95583,35
9,0,1,5.57973,29
1,0,1,5.46806,47
15,0,1,5.28827,25
11,1,1,5.39816,25
2,1,0,5.46806,32
26,0,1,5.15906,39
4,0,0,4.97673,28
1,1,1,5.46806,30
7,1,1,6.16121,39
6,0,1,5.06259,43
6,0,1,5.32301,45
3,0,0,5.46806,35
1,0,1,5.97889,26
2,0,0,4.95583,37
4,0,1,5.28827,21
1,0,1,4.95583,44
13,0,0,5.97889,29
13,1,1,6.48004,55
8,0,1,5.87493,27
7,0,1,5.62402,35
5,1,1,5.75574,30
6,0,1,5.75574,55
7,1,1,5.62402,26
6,0,1,5.62402,40
6,0,1,5.15906,27
3,1,0,4.77912,22
1,1,0,4.77912,32
1,1,0,5.43372,33
16,0,1,6.01616,33
4,0,1,6.16121,36
2,1,1,5.71703,39
1,1,0,5.06259,27
6,0,1,5.46806,25
11,0,1,5.62402,36
11,1,1,5.45532,58
4,1,1,5.3799,31
9,1,1,6.38519,26
7,1,0,7.0775,40
2,0,0,6.44889,54
5,1,1,5.32301,51
16,1,1,5.06259,24
4,0,1,5.28827,51
3,0,1,5.75574,28
2,1,1,6.16121,32
13,0,0,5.06259,25
7,0,1,6.07535,45
2,0,0,5.64897,24
1,0,0,5.06259,25
1,0,0,4.89784,42
15,0,1,6.01616,28
4,0,0,5.06259,25
7,0,1,5.06259,53
1,0,0,5.28827,21
3,0,0,5.24702,22
5,0,0,4.46591,22
27,0,1,5.42935,41
11,0,0,5.06259,46
1,0,0,6.3315,40
1,0,0,6.61204,39
3,1,1,6.16121,45
6,0,1,6.19236,45
27,0,1,5.62402,21
15,0,1,6.44889,50
7,1,1,6.07535,46
5,0,0,6.58479,37
14,0,1,5.62402,50
7,0,1,5.97889,28
7,0,1,5.87493,22
8,0,1,5.32301,21
14,1,1,6.16121,29
1,0,1,5.62402,38
10,0,1,5.75574,40
2,1,1,6.1334,25
2,0,1,5.3799,22
6,1,0,6.47389,42
13,0,1,6.01859,56
5,0,0,5.46806,32
9,0,1,6.16121,40
7,1,1,5.97889,28
21,0,1,5.93754,29
1,0,0,5.06259,29
1,1,0,5.28827,33
7,0,1,5.8522,36
3,1,1,6.07535,43
3,1,1,6.24804,39
26,0,1,5.70378,58
4,0,1,5.93754,39
21,1,1,5.81711,26
11,0,1,6.35263,44
7,0,1,5.87493,34
5,1,1,5.59471,35
10,0,1,5.97889,23
8,0,1,6.52649,42
3,0,0,5.80513,22
1,0,1,5.87493,25
4,0,1,6.09131,34
27,0,0,5.46806,29
5,0,1,6.67203,53
16,0,1,5.97889,34
4,1,1,5.97889,39
2,0,1,5.75574,61
5,0,0,6.67203,39
9,0,1,6.74406,52
4,0,1,6.2106,30
5,0,1,5.75574,37
15,1,1,5.70378,35
2,0,0,6.44889,36
4,1,0,6.31536,32
16,0,0,6.27852,45
6,0,0,5.64897,24
5,0,1,5.53339,28
10,0,1,5.87493,47
21,0,1,5.75574,48
1,0,1,5.28827,35
8,1,1,5.87493,41
8,0,1,5.06259,21
3,0,1,5.93754,21
3,0,1,5.75574,48
12,0,1,5.97889,48
3,0,0,5.82895,40
1,1,0,6.67203,34
2,1,0,5.75574,22
16,0,0,5.8944,45
21,0,1,6.44889,30
15,1,1,5.67675,43
4,0,1,6.54391,52
26,1,1,6.44889,35
3,1,1,5.93754,37
5,1,1,5.32301,22
11,0,1,5.53339,30
8,0,1,5.48064,25
17,0,0,6.31536,47
15,0,1,6.48004,43
9,0,1,5.46806,29
9,0,1,5.41165,54
1,1,0,4.77912,21
3,1,1,6.9344,50
1,1,0,6.44095,43
1,1,0,6.61338,37
1,1,1,5.46806,28
3,0,1,5.46806,24
26,0,1,5.75574,32
12,0,1,5.93754,26
14,1,1,5.97889,55
2,1,1,5.8522,32
7,0,1,5.97889,59
6,0,1,5.80513,33
1,0,0,5.62402,38
1,1,0,4.92725,22
1,0,0,5.62402,41
5,0,1,5.94542,54
5,1,1,5.25227,42
15,0,0,4.89784,22
9,1,1,6.64639,38
1,0,0,6.12249,27
3,0,1,5.87493,38
2,1,0,5.53339,24
5,0,1,4.83628,20
7,1,1,6.54391,34
1,0,0,5.59471,28
10,0,1,5.39816,29
16,0,1,5.97889,47
2,1,1,6.53814,40
4,0,1,6.16121,48
7,0,1,6.81235,42
4,0,1,5.71373,56
11,0,1,5.97889,31
5,1,1,5.28827,48
23,0,1,6.08222,27
4,0,0,4.83628,28
2,1,1,5.28827,44
17,0,1,5.81711,24
8,0,1,5.46806,28
16,0,1,5.75574,40
16,0,0,5.97889,40
11,0,0,4.83628,20
3,0,0,5.62402,24
14,0,1,5.75574,50
16,0,1,6.44889,39
4,0,1,5.71703,31
3,0,0,5.59471,37
2,0,0,6.19441,30
1,1,1,5.97889,42
11,0,1,5.75574,37
10,0,1,5.82895,43
1,1,0,6.27664,30
12,0,1,5.43372,23
2,0,0,5.28827,26
2,0,1,5.06259,29
3,0,0,5.46806,46
10,0,1,5.53339,61
5,1,1,4.77912,24
2,0,0,6.31536,32
2,0,0,5.06259,20
10,0,1,5.53339,34
3,1,0,5.46806,55
2,0,0,5.70378,30
2,1,0,5.62402,26
3,0,1,5.28827,57
8,1,1,5.63479,29
1,0,0,5.46806,50
4,0,1,5.46806,21
1,1,0,5.06259,21
2,0,1,5.3799,24
1,0,0,5.62402,27
1,1,0,5.97889,43
4,1,1,6.16121,39
1,0,0,5.24702,21
1,0,0,3.3322,32
5,0,0,5.28827,26
9,1,1,6.07535,43
3,0,0,5.97889,26
7,1,0,5.62402,55
7,1,0,5.28827,26
9,0,1,5.28827,59
2,0,1,5.22575,55
5,0,1,5.23644,51
22,0,1,6.56667,52
3,0,1,5.06259,38
16,0,1,5.62402,24
6,0,0,4.83628,21
1,0,0,4.63473,27
14,0,0,5.06259,23
5,0,0,5.06259,30
4,0,1,5.95842,28
1,1,0,5.28827,28
4,0,1,5.06259,56
1,1,0,6.12249,54
3,0,1,5.59471,50
1,1,0,5.11199,26
2,0,0,5.62402,21
2,0,0,4.59512,28
1,1,0,5.0814,57
6,1,1,5.28827,29
1,0,0,6.97915,46
2,0,1,5.49717,31
1,1,0,5.36129,22
6,0,0,5.28827,52
11,1,0,5.62402,25
1,0,0,6.41017,52
4,1,0,5.62402,25
7,0,1,6.85435,51
2,0,0,5.46806,26
1,0,0,6.30445,49
16,1,0,6.31536,42
14,0,1,5.50126,56
25,0,1,6.35089,48
2,1,0,5.46806,21
17,1,0,5.62402,36
26,0,1,5.75574,49
22,0,1,6.24222,38
6,1,1,5.97889,26
11,0,1,6.24222,52
22,1,1,4.74493,52
2,1,1,5.87493,41
3,1,1,7.36455,45
5,0,0,4.77912,45
25,0,1,5.36129,61
11,1,1,5.06259,36
2,0,1,5.46806,22
1,0,1,5.54908,36
20,0,1,5.54908,43
14,0,1,6.24804,59
16,1,1,5.11199,25
2,0,0,5.75574,49
15,0,0,5.39816,29
1,0,0,4.95583,45
2,0,0,4.89784,23
3,0,0,5.53339,22
15,1,1,5.87493,43
3,0,1,5.8522,39
10,0,1,5.75574,28
2,0,0,5.62402,32
5,1,0,5.7301,38
8,0,1,4.83628,22
2,1,0,5.28827,45
7,1,0,4.77912,41
14,0,0,5.07517,26
1,0,1,5.39816,33
4,0,0,5.06259,23
2,0,1,5.75574,37
3,0,0,5.54908,47
5,0,1,5.22036,42
4,0,1,5.80513,58
2,0,1,4.92725,23
2,1,0,5.62402,26
4,0,0,4.95583,23
3,1,1,5.54908,23
13,0,1,6.34388,36
8,1,0,5.64897,50
5,1,1,4.95583,24
18,0,1,6.12249,50
10,0,1,5.92693,51
7,1,1,4.8828,34
2,1,1,6.44889,42
7,1,0,5.56834,46
6,0,1,6.67203,50
1,0,0,5.06259,22
5,0,1,6.09131,50
4,0,0,6.44889,48
5,0,0,5.75574,30
7,1,0,5.46806,24
4,0,1,6.16121,33
1,0,0,5.3799,30
2,0,1,5.06259,34
14,1,0,5.75574,57
5,1,1,5.18178,35
2,0,0,5.75574,26
5,1,1,5.54126,27
3,0,1,5.50126,32
11,0,0,5.28827,24
27,0,0,5.92693,29
7,0,1,5.24702,51
2,1,0,5.55296,29
7,0,1,5.24702,31
3,0,1,5.28827,43
2,0,0,6.01859,56
4,0,1,6.20051,48
2,0,1,5.62402,41
1,0,0,5.01064,32
6,0,1,4.41884,43
4,0,1,5.54908,41
9,1,1,5.28827,38
20,1,1,5.75574,21
1,0,0,5.64897,21
3,1,0,5.97889,22
13,0,1,4.89784,29
5,1,1,5.84064,42
1,0,1,6.07074,42
6,0,1,5.3033,22
14,0,0,4.95583,33
3,0,0,6.16121,26
1,0,0,5.64897,28
2,0,0,6.4892,45
8,1,0,5.62402,51
1,0,0,6.67203,51
1,0,0,5.62402,29
7,0,0,5.75574,53
4,0,0,5.87493,33
5,1,0,5.87493,26
3,0,0,5.11199,22
20,0,1,6.286,42
2,1,0,6.76734,36
3,1,0,5.92693,41
4,0,0,5.06259,21
2,1,0,5.20401,41
14,0,0,4.77912,43
9,0,1,5.32301,59
3,0,0,5.53339,25
2,0,1,5.01064,36
8,0,0,6.38519,48
3,0,1,5.77455,57
5,0,1,6.16121,42
5,1,1,5.75574,50
3,0,0,5.15906,44
16,0,1,5.49306,58
9,0,1,5.80513,33
7,0,1,6.16121,35
4,0,0,5.69036,32
5,0,1,5.93754,25
5,0,1,4.95583,54
21,1,1,5.74939,37
1,0,0,6.12687,32
2,0,0,5.06259,41
11,0,1,5.97889,24
6,1,1,5.8944,39
1,0,0,4.36945,28
1,0,0,4.36945,23
3,0,1,6.16121,35
4,0,1,5.15906,36
4,1,1,6.67203,59
9,0,1,5.97889,39
13,0,1,5.34233,37
1,0,1,5.62402,45
7,0,0,5.8522,22
13,1,0,5.3799,24
1,0,0,6.16121,35
3,1,0,5.90536,51
2,0,1,6.16121,22
9,0,1,6.12249,33
1,0,0,5.06259,51
20,0,1,5.97889,49
7,0,1,6.44889,27
9,0,1,5.06259,34
4,0,0,5.46806,36
1,1,0,5.54908,35
13,0,1,4.74493,29
5,0,1,4.89784,23
13,0,0,4.83628,23
1,0,0,6.85435,61
7,1,1,6.16121,55
8,0,1,6.16121,41
7,0,0,5.06259,31
7,0,1,5.01064,31
2,0,0,5.36129,22
2,0,0,5.11199,29
7,0,1,5.39816,34
15,0,0,7.0775,54
16,0,1,5.38907,31
17,0,1,5.80513,34
14,0,1,6.31536,49
2,0,0,5.46806,60
3,1,0,5.39816,22
13,1,1,5.28827,31
19,0,0,6.1181,54
3,1,0,6.31536,23
1,1,0,5.46806,33
3,0,0,5.49306,24
3,1,1,6.31536,30
7,0,0,4.55388,23
7,0,1,4.92725,47
7,0,1,5.06259,36
17,0,1,6.2106,25
9,0,1,5.97889,22
4,0,1,5.47646,60
3,0,0,4.07754,24
17,0,1,5.87493,29
1,0,0,5.46806,26
17,0,1,5.69036,32
3,1,0,5.62402,31
3,0,1,5.53339,28
14,0,1,6.56667,38
7,1,1,5.97889,41
4,0,0,5.06259,27
11,1,1,5.85507,30
5,0,0,4.46591,23
1,0,0,4.92725,26
3,0,0,5.15906,25
6,0,1,5.06259,37
12,0,1,6.16121,37
7,0,1,6.38519,35
2,0,1,4.41884,36
3,0,1,5.64897,22
14,0,1,5.97889,49
10,0,1,5.8999,45
4,0,0,5.46806,41
5,0,1,6.49828,47
14,0,1,4.59512,41
6,0,1,5.97889,38
10,0,0,7.36455,57
7,0,1,5.57595,35
15,1,1,5.46806,28
5,1,1,5.97889,29
3,0,1,5.75574,35
7,1,1,5.46806,27
6,0,1,5.24702,20
13,1,1,5.11199,46
9,1,1,5.28827,22
25,0,1,5.49306,56
20,0,1,6.44889,30
14,0,1,5.75574,51
16,0,1,6.24222,52
21,0,1,5.15906,57
4,0,1,5.70378,32
22,0,0,6.85435,46
16,0,0,5.06259,20
20,0,1,6.38519,47
5,1,1,5.28827,26
11,0,0,5.28827,26
1,1,0,5.46806,37
2,0,0,6.24222,32
5,0,0,5.64897,50
3,1,1,5.87493,27
16,0,1,6.286,46
1,1,0,5.06259,39
16,1,1,6.67203,37
2,0,0,5.39816,36
1,1,0,6.16121,44
11,0,0,5.75574,53
7,0,1,5.75574,47
4,1,0,6.81454,45
2,1,0,5.62402,30
1,1,0,4.96981,36
6,0,1,5.97889,35
18,0,1,5.53339,20
5,0,1,5.46806,23
13,1,0,6.44889,58
5,0,0,5.06259,48
5,1,1,6.31536,28
13,0,1,5.70378,52
1,0,0,5.06259,37
5,0,1,6.01859,33
7,0,1,5.46806,29
1,1,1,5.8522,47
8,0,1,5.46806,28
13,0,1,6.09131,36
7,0,1,5.62402,38
2,1,1,5.39816,28
2,0,1,4.95583,22
14,0,1,5.15906,25
23,0,1,5.87493,50
9,0,1,5.28827,49
13,0,1,5.28827,32
23,0,1,5.64897,35
14,1,1,5.59471,40
9,0,0,5.06259,34
1,1,1,5.73334,51
8,0,1,6.38519,38
14,1,1,5.81711,32
16,0,1,5.28827,47
2,0,0,6.02828,28
14,0,1,6.31536,61
14,0,1,6.56667,54
3,0,0,5.97889,23
14,1,1,5.97889,37
5,0,1,5.24702,56
3,0,1,6.07535,41
2,1,0,5.46806,31
9,0,1,6.07535,36
2,1,0,6.38519,25
5,0,1,5.78074,31
1,0,0,6.16121,41
8,0,1,5.46806,26
1,0,0,5.87493,55
14,0,1,6.31536,48
12,0,0,5.46806,26
26,0,1,5.59471,60
5,0,1,5.32301,22
4,0,1,5.11199,54
9,0,1,5.75574,57
5,0,1,5.46806,33
2,0,1,5.06259,34
17,0,1,5.62402,26
3,1,1,5.75574,30
1,1,0,5.53339,27
5,1,1,6.07535,49
14,0,1,5.97889,55
1,1,0,5.46806,30
3,0,1,5.97889,36
2,1,1,5.75574,36
2,0,1,5.46806,41
1,0,0,5.28827,35
6,0,1,5.62402,25
6,0,0,5.59471,24
2,0,0,4.83628,32
2,0,1,5.18178,27
2,1,1,5.28827,32
3,0,1,5.87493,51
3,0,1,5.54908,31
2,0,0,5.46806,24
6,0,1,5.28827,52
6,0,1,6.07535,60
7,0,1,5.56452,49
16,0,1,6.02828,52
9,0,1,5.62402,27
3,0,0,6.2186,34
1,1,0,6.16121,49
8,0,1,6.31536,26
14,0,1,6.67203,54
5,0,1,6.2106,27
14,0,1,6.51026,45
17,1,1,6.1181,37
22,0,1,5.75574,55
3,1,1,5.53339,30
3,0,1,5.39816,29
16,0,1,6.31536,30
14,0,1,5.75574,43
2,1,1,5.97889,31
5,0,0,6.35784,41
13,1,1,5.62402,26
2,1,1,6.67203,34
1,1,0,5.28827,38
7,0,1,5.46806,44
25,0,1,6.07535,52
21,0,1,5.97889,49
6,0,1,6.6053,35
7,0,1,5.97889,45
1,0,0,6.16121,24
14,0,1,5.46806,33
2,1,0,5.06259,32
1,0,0,4.92725,20
6,0,0,5.46806,49
1,1,0,5.62402,43
5,1,1,5.8944,27
1,0,0,6.07535,22
1,0,0,4.92725,31
1,0,1,5.62402,26
5,0,1,5.62402,27
5,0,1,5.46806,26
6,0,1,5.53339,31
1,0,1,5.93754,34
2,0,1,5.1358,32
9,0,1,6.14419,34
20,0,1,5.62402,30
7,0,1,5.20401,34
3,0,0,6.07535,40
23,0,1,5.39816,56
3,0,1,6.67203,30
16,0,0,5.39816,32
3,0,1,5.62402,40
3,0,1,5.75574,20
2,1,0,5.87493,42
11,0,1,5.80513,55
3,1,0,5.01064,22
15,0,1,4.77912,43
9,1,1,5.87493,37
7,0,1,5.62402,39
8,0,0,5.46806,24
5,0,1,5.86363,38
19,0,1,5.87493,22
2,0,1,5.75574,36
9,0,1,6.67203,61
8,0,1,6.31536,42
13,0,0,5.18178,40
4,0,0,4.77912,20
2,0,0,5.28827,27
2,1,1,6.13123,43
5,0,1,6.12687,28
7,0,1,6.16121,42
5,0,1,5.75574,46
2,0,1,5.62402,28
9,0,1,5.46806,31
2,1,0,5.25227,26
5,0,0,5.35186,26
21,0,0,6.94794,43
7,0,1,5.3799,28
2,1,0,6.40853,39
5,0,1,5.84932,54
2,1,0,6.07304,32
3,0,1,5.56068,28
1,1,0,5.15906,41
5,0,1,6.02102,46
2,1,0,5.20401,20
14,1,1,6.07304,35
4,1,1,5.65599,22
7,0,0,5.64191,33
3,0,1,5.56068,38
2,0,0,5.56068,30
2,0,0,5.49306,21
1,1,0,5.9108,58
5,0,0,6.54247,37
7,1,1,6.16752,37
1,1,0,6.47851,39
11,0,1,5.50533,25
