CASENUM,ATTORNEY,CLMSEX,CLMINSUR,SEATBELT,CLMAGE,LOSS
9879,1,1,1,0,54,1.677
9910,1,0,,0,40,1.408
38,1,1,1,0,,0.056
6,0,0,1,0,,0.04
5,0,1,1,0,43,6.109
7,1,1,,,13,0.647
19,0,0,1,0,83,18.109
106,0,0,1,0,10,50
116,1,0,0,0,,0.684
156,0,0,1,0,13,4.776
188,0,1,1,0,35,5.405
198,1,1,1,,0,0.584
308,0,1,1,0,15,1.998
319,0,1,1,0,,1.995
479,0,1,1,0,45,49.015
545,1,1,1,0,40,0.834
564,0,0,0,0,5,1.6
565,1,0,1,0,49,1.68
575,0,0,1,0,14,4.916
590,0,0,1,0,48,68.548
593,1,0,1,0,43,0.745
606,0,0,1,0,60,5.087
758,1,1,1,0,9,0.185
861,0,0,0,0,50,3.719
870,1,1,1,0,10,1.97
876,1,0,1,0,40,0.505
884,0,0,1,0,6,0.396
895,1,1,1,0,11,0.487
945,1,0,0,0,15,0.54
960,0,1,1,0,11,1.13
993,1,1,1,0,10,0.385
997,0,1,,,,1.7
6,0,1,1,,4,0.057
30,0,1,1,0,16,0.089
64,0,0,0,0,15,0.984
94,0,1,1,0,,0.406
7,0,1,1,0,11,6.084
34,0,1,1,0,59,54.711
95,1,1,1,0,,3.584
99,0,0,1,0,36,4.045
158,0,1,1,0,6,3.47
169,1,1,1,0,40,4
171,0,1,1,0,6,3.883
189,1,0,1,0,57,3.889
196,1,0,1,0,,0.1
300,0,0,1,0,,1.63
308,0,1,1,0,40,0.857
330,1,1,1,0,7,0.557
331,0,1,1,0,10,3.064
363,0,1,1,0,,3.5
364,1,1,1,1,5,0.555
450,1,1,1,0,33,3.089
453,0,0,1,0,64,3.457
456,0,1,1,0,19,3.95
460,1,1,0,0,37,1.868
579,1,1,0,0,7,0.6
590,0,1,1,,5,0.488
617,0,1,1,0,5,0.995
656,0,1,,,0,0.109
696,1,0,,0,35,0.5
700,0,1,0,0,43,7.068
703,1,1,1,0,48,0.116
733,0,1,1,0,,93
763,1,1,,,66,0.985
768,1,1,1,0,10,1.069
873,1,1,1,0,0,0.08
883,1,0,1,0,34,1.36
890,1,0,1,0,14,1.086
907,1,0,1,0,30,0.5
901,0,,,,,1.069
904,1,1,1,0,50,0.045
905,1,0,1,,38,0.405
907,0,1,1,0,1,3.407
933,1,0,1,0,6,0.548
936,0,0,0,0,5,1.83
1003,1,0,1,0,,0.47
1090,0,1,1,0,50,4.005
1010,0,0,1,0,6,5.505
1030,0,0,0,0,30,8.07
1031,0,1,1,0,14,0.08
1058,0,0,1,1,39,61.047
1085,0,1,1,0,48,1.05
1110,0,0,1,1,10,1.318
1139,0,1,1,0,13,0.16
1150,1,0,1,0,47,0.09
1186,0,1,1,0,70,0.566
1308,1,1,1,0,35,0.975
1404,1,0,,,,0.37
1454,1,1,1,0,,0.783
1474,0,1,1,0,70,1.698
1478,1,1,1,0,39,0.84
1495,1,0,1,0,43,3.049
1500,0,0,0,0,,0.081
1544,0,1,1,0,35,3.603
1545,1,0,1,0,,0.4
1580,0,,1,0,14,5.5
1598,1,1,1,0,47,0.609
1670,0,1,1,0,15,3.085
1700,1,0,0,0,8,0.066
1767,1,1,1,0,,0.085
1785,0,1,1,0,9,1.645
1810,1,1,1,0,7,0.405
1843,1,1,1,0,3,0.1
1847,0,1,1,0,35,6.416
1901,0,0,1,0,55,6.85
1910,1,0,1,0,45,3.955
1935,0,0,1,0,40,7.7
1944,1,0,1,0,1,0.3
1980,1,0,1,1,49,1.633
1985,1,0,1,0,,3.854
1993,0,0,1,0,50,3.054
3003,1,0,1,0,47,0.15
3034,0,0,1,0,8,1.908
3070,0,1,1,1,,1.619
3090,1,0,1,0,19,0.957
3043,0,1,1,0,8,3.086
3060,0,0,1,0,5,0.453
3096,1,1,1,0,64,0.061
3133,1,0,1,0,19,0.605
3136,0,0,0,0,6,0.095
3149,1,1,1,0,64,0.131
3304,1,0,1,0,37,3.709
3309,0,1,0,0,5,3.06
3334,1,1,1,0,0,0.151
3401,0,1,1,0,63,0.34
3490,1,1,1,0,3,0.716
3570,0,,1,0,,7.857
3608,0,1,,,7,7.707
3700,0,0,1,0,5,0.065
3708,1,0,1,0,13,0.085
3734,0,0,1,0,57,6.063
3748,0,0,,0,,0.005
3753,0,1,1,0,51,4.366
3808,0,0,1,0,30,1.548
3840,1,0,1,0,,0.431
3906,1,1,1,0,50,0.435
3930,0,0,1,0,1,0.095
3957,1,1,1,1,30,1.069
3978,1,1,1,0,47,0.077
3990,0,1,1,0,3,0.843
4050,1,1,1,0,11,5.515
4084,0,0,1,0,7,1.305
4000,1,1,1,0,,3.51
4005,1,0,1,0,9,8.08
4030,0,0,1,0,31,3.035
4040,0,0,0,0,5,0.656
4044,0,0,1,0,56,3.01
4047,0,0,1,0,44,3.666
4067,1,0,1,0,34,3.394
4074,0,1,1,0,49,3.76
4086,1,1,1,0,,3.09
4100,0,1,,,0,0.91
4161,0,0,0,0,43,5.083
4163,1,1,1,0,64,0.948
4171,0,0,1,0,,7.438
4179,0,0,0,0,16,0.83
4305,0,0,1,0,19,4.781
4319,0,1,0,0,3,0.579
4350,1,1,,,,0.5
4357,1,1,1,0,34,8.4
4366,1,0,1,0,58,0.895
4375,1,0,1,0,30,0.565
4404,0,0,1,0,57,4.996
4458,1,1,1,0,,0.105
4489,0,1,0,0,14,3.804
4507,0,1,1,0,11,3.754
4565,1,1,1,0,,0.06
4600,1,1,1,0,4,1.883
4604,1,1,1,0,37,0.5
4633,0,0,0,0,19,3.04
4679,1,1,1,0,39,0
4697,1,1,0,0,40,8.406
4740,0,0,1,0,54,1.077
4767,0,0,1,0,5,1.737
4799,0,0,1,0,16,0.091
4806,1,1,1,0,44,3.313
4830,0,0,1,0,3,0.6
4845,1,0,1,0,9,1.691
4859,0,1,1,0,49,6.371
4863,0,0,1,0,70,3.706
4893,1,0,1,0,10,0.305
4908,0,1,1,0,15,4.554
4967,1,0,1,0,7,0.778
4975,0,0,1,0,,66.689
4991,0,1,1,0,8,6.047
4995,1,0,1,0,30,0.384
4998,1,1,1,0,10,0.107
5011,1,1,0,0,,3.361
5071,1,1,1,0,63,0.184
5043,0,0,0,0,36,3.175
5060,0,1,1,0,17,41.434
5081,0,1,1,0,70,3.78
5095,0,1,1,0,,0.536
5108,1,1,1,0,30,0.83
5369,1,1,1,0,6,0.1
5404,1,1,1,0,11,0.546
5415,0,1,1,0,38,4.977
5419,1,0,1,0,8,1.99
5431,1,1,1,0,43,0.007
5436,0,0,1,0,31,5.55
5457,1,1,1,0,70,0.108
5500,1,0,1,0,60,0.073
5518,1,1,1,0,9,0.55
5519,0,1,1,0,37,63.361
5548,0,0,1,0,50,0.935
5550,1,1,1,,19,0.015
5557,1,1,1,0,13,0.15
5589,0,1,1,0,8,3.005
5599,0,1,1,0,11,3.6
5670,1,1,1,0,,0.114
5680,0,0,1,,50,3.041
5704,0,1,1,0,4,0.655
5790,1,0,1,0,0,0.15
5848,0,1,1,0,9,5.5
5930,1,0,1,0,33,0.596
5931,0,0,1,0,,0.199
5954,1,0,1,0,30,0.03
5990,0,0,1,0,16,4.94
6016,1,1,1,0,,1.64
6000,1,1,1,0,0,0.407
6016,0,1,1,0,39,3.47
6037,0,1,1,0,36,15.766
6110,1,0,1,0,83,0.38
6175,0,0,0,0,7,1.815
6195,1,1,1,0,41,3.043
6317,1,0,1,0,38,3.787
6330,0,0,1,0,1,0.89
6353,0,1,1,0,67,4.109
6379,1,0,,0,10,0.558
6408,0,1,1,0,71,8.708
6409,0,0,1,0,73,8.108
6445,0,1,1,0,40,6.337
6453,1,1,1,0,48,0.058
6461,0,0,1,0,7,0.33
6495,0,1,0,0,,3.635
6531,0,0,0,0,50,0.01
6543,0,1,1,0,1,3.404
6556,0,1,1,0,37,1.851
6568,0,1,1,1,10,8.053
6585,0,0,1,0,95,0.08
6605,1,1,1,0,0,0.175
6665,0,0,1,0,44,3.9
6697,0,0,1,0,31,0.155
6703,0,0,1,0,10,0.135
6709,0,0,1,0,44,1.645
6710,0,0,1,0,45,3.9
6717,0,0,1,0,30,6.808
6755,1,1,1,0,10,0.041
6794,0,0,1,0,,1.905
6795,0,0,1,0,17,5.118
6841,1,1,0,0,10,1.64
6843,1,1,1,0,70,0.06
6907,0,0,1,0,7,3.436
6914,0,1,1,1,10,0.936
6958,0,0,1,0,1,0.035
7010,1,0,1,0,33,0.393
7011,0,1,1,0,0,0.116
7098,0,0,1,0,34,6.57
7033,0,0,1,0,43,0.405
7044,0,1,1,0,,0.935
7057,0,0,1,0,35,3.36
7059,1,1,1,0,43,3.498
7063,0,0,1,0,14,4.479
7085,0,1,1,0,10,1.406
7087,0,1,,,,0.3
7111,1,1,1,0,41,9.16
7175,1,1,1,0,0,0.005
7186,1,1,1,0,47,0.5
7363,0,0,0,0,31,0.738
7373,0,0,1,0,39,4.308
7397,1,0,1,0,,0.075
7403,1,0,1,0,,0.133
7406,0,1,1,0,39,3.086
7407,1,1,1,0,60,0.064
7488,0,0,,0,49,0.7
7539,1,1,1,0,55,0.03
7550,1,1,0,0,33,0
7635,0,1,1,0,41,7.013
7707,0,1,1,0,33,5.467
7709,1,1,1,0,39,0.831
7716,0,0,1,0,,3.906
7719,0,0,1,0,43,4.41
7731,1,0,0,0,48,0.855
7737,0,1,1,0,48,5.449
7790,1,1,1,0,19,0.553
7831,0,1,1,0,9,1.803
7840,0,1,,,34,0.945
7840,1,0,1,0,16,0.175
7885,1,1,0,0,19,5.4
7933,1,0,,,,0.004
7985,1,1,1,0,80,1.613
7994,1,1,1,0,43,0.31
8007,0,0,1,0,13,1.915
8063,0,1,0,0,11,7.407
8065,1,0,1,0,5,0.315
8070,1,1,1,0,15,6.795
8089,1,1,1,0,50,0.946
8041,0,1,1,0,,0.305
8045,0,0,1,0,19,0.348
8057,0,0,1,0,40,6.479
8075,1,1,1,0,11,3.78
8077,1,0,1,0,,0.4
8104,1,0,1,0,60,0.1
8105,0,1,1,0,43,8.49
8133,0,1,1,0,41,0.801
8155,0,0,1,0,49,0.33
8170,0,1,1,0,40,3.57
8198,1,1,1,0,0,0.05
8308,0,1,1,0,10,7.079
8334,1,0,1,0,5,0.15
8353,1,1,1,0,,1.01
8360,1,1,1,0,45,0.9
8384,0,1,1,0,37,1.805
8387,1,0,1,0,57,1.019
8396,0,0,1,0,15,6.119
8400,1,1,1,0,40,5.967
8483,0,1,1,0,9,0.707
8500,0,0,1,0,,4.395
8513,1,1,1,0,58,0.354
8553,1,0,1,0,13,6.979
8563,0,1,1,0,30,1.105
8576,0,0,1,0,18,3.065
8609,0,1,1,0,55,19.934
8644,1,1,1,0,33,0.781
8647,0,1,1,0,17,3.737
8670,0,0,1,0,34,8.706
8674,0,0,1,0,,3.545
8683,0,0,1,0,17,3.055
8698,0,1,1,0,7,0.15
8765,1,0,1,0,44,0.763
8773,1,0,1,0,36,0.053
8774,1,0,1,0,10,3.974
8783,0,0,1,0,9,3.1
8809,1,0,1,0,11,0.5
8811,1,0,1,0,0,0.05
8814,0,0,1,0,30,4.014
8847,1,0,1,0,,5.01
8903,1,0,0,0,11,0.3
8950,1,1,1,0,17,0.069
8960,0,0,1,0,0,0.014
8983,0,0,1,0,13,7.936
8985,1,1,1,0,88,0.703
9041,0,0,0,0,78,4.115
9090,0,0,1,0,6,4.076
9104,0,1,1,0,70,0.035
9101,0,1,1,0,30,5.01
9118,1,1,1,0,8,0.401
9131,0,1,1,0,40,6.674
9160,0,1,1,0,40,5.091
9163,1,0,1,0,8,9.004
9164,1,0,1,0,69,0.48
9193,1,1,1,0,,0.848
9330,0,0,1,0,38,3.004
9404,1,0,1,0,36,0.009
9411,0,1,1,0,4,0.191
9413,0,1,1,0,,1
9415,1,1,1,0,39,4.095
9430,1,0,1,0,15,0.16
9477,1,1,1,0,,9.436
9480,1,0,1,0,80,0.703
9578,0,1,1,0,53,3.04
9604,0,0,1,0,39,3.741
9609,0,0,1,0,40,1.073
9617,0,0,0,0,30,9.909
9630,0,1,1,0,38,3.055
9686,0,0,1,0,0,0.4
9691,0,0,0,0,45,3.305
9795,1,0,1,0,60,0
9796,0,1,1,0,9,4.614
9816,0,0,1,1,30,0.077
9851,1,0,1,0,0,0.065
9875,0,1,0,0,18,1.817
9877,1,1,1,0,,0.115
9881,1,1,1,0,40,0.969
9885,1,0,1,0,,0.614
9895,1,1,1,0,43,0.166
9900,1,0,0,0,,0.138
9903,0,0,1,0,,4.395
9933,1,1,1,0,6,0.109
9964,1,1,1,0,19,3.777
9993,0,0,1,,,1.364
9998,1,1,1,0,6,0.046
9999,1,1,1,0,38,0.155
10000,1,1,1,0,,0
10000,0,1,1,0,40,3.993
10050,1,0,1,0,3,0.084
10070,0,1,1,0,9,0.68
10035,1,1,1,0,,0.894
10040,1,1,1,0,,3.975
10048,0,0,1,0,15,1.035
10067,1,1,1,0,19,3.858
10090,0,0,1,0,50,51.146
10100,1,0,1,0,,0.15
10164,1,0,1,0,,1.053
10178,0,0,1,0,37,8.77
10300,0,0,0,0,,74.776
10470,1,1,1,0,10,0.5
10487,0,0,1,0,6,0.53
10613,1,1,1,0,33,3.365
10677,1,0,0,0,49,3.763
10687,0,1,1,0,9,3.386
10694,1,1,1,0,69,7.61
10695,1,1,1,0,8,1.354
10707,0,1,1,0,17,0
10708,1,0,0,0,41,0.457
10755,1,1,1,0,8,0.108
10790,0,1,1,0,11,3.713
10850,0,0,0,0,5,0.97
10864,0,1,1,0,47,5.004
10894,1,1,1,,,0.005
10900,0,1,1,0,50,3.348
10907,0,0,1,0,16,111.405
10908,0,1,1,0,,50
10940,1,0,1,0,0,0.055
10945,0,1,,,47,8.053
10975,1,1,1,0,38,0.701
10990,1,1,1,0,16,0.16
10006,0,0,1,0,8,78.767
10084,0,0,1,0,73,1.715
10003,0,0,0,0,40,1.55
10001,0,1,1,0,41,5.995
10060,1,0,1,0,48,0.39
10105,0,1,1,0,7,6
10180,0,1,1,1,0,3.089
10190,1,0,1,0,40,0.31
10300,1,1,1,0,16,0.6
10354,0,1,1,0,44,6.4
10369,0,0,1,0,,7.018
10376,0,0,1,0,,1.799
10379,1,1,1,0,17,3.186
10404,0,1,1,0,64,1.87
10416,0,0,0,,13,1.065
10440,0,0,1,0,30,6.967
10455,1,1,1,0,6,0.488
10504,0,1,1,0,34,6.057
10510,1,0,0,0,37,0.544
10533,1,1,1,0,43,4.088
10537,0,1,1,0,10,31.005
10561,0,1,1,0,48,1.05
10570,1,1,1,0,30,0.3
10631,0,1,1,,40,3.505
10633,0,1,1,0,44,0.486
10635,0,0,0,0,8,1.807
10681,1,0,1,0,,1
10750,0,0,1,0,6,0.133
